# ,,,,,,,,,,
# FOFEM Mortality Species Equation File ,,,,,,,,,,
# Sep 11 2018,,,,,,,,,,
# This file is used in conjunction with the FOFEM tree mortality option,,,,,,,,,,
# Seq = Sequence number - helps order file ,,,,,,,,,,
# Species = Species code,,,,,,,,,,
# Sci-Name = Scientific name,,,,,,,,,,
# Com-Name = Common name,,,,,,,,,,
# Mort = Mortality equation identifiers,,,,,,,,,,
#           Crown Scorch Equations (CRNSCH):   1 -> 99,,,,,,,,,,
#           Bole Char Equations (BOLCHR):   100->110,,,,,,,,,,
#           Crown Damage/Cambium/Beetle Equations (CRCABE):   2 alpha characters,,,,,,,,,,
# Brk  = Bark Equation,,,,,,,,,,
# Crn  = Crown Coefficient code used to calculate stand canopy cover,,,,,,,,,,
# Reg  = Region,,,,,,,,,,
#            IW -   Interior West,,,,,,,,,,
#            PW - Pacific West,,,,,,,,,,
#            NE - North East,,,,,,,,,,
#            SE - South East,,,,,,,,,,
# ,,,,,,,,,,
#Seq,Species,Sci-Name,Com-Name, Mort,Brk,Crn,IW,PW,NE,SE
770,ACSP2,Acer spicatum,Mountain maple,1,19,21,-1,-1,3,-1
780,ACESPP,Acer species,Maples,1,8,21,-1,-1,3,4
790,AEGL,Aesculus glabra,Ohio buckeye,1,15,39,-1,-1,3,4
800,AEGLA,Aesculus glabra,Ohio buckeye,1,15,39,-1,-1,3,4
810,AEGLB,Aesculus glabra,Ohio buckeye,1,15,39,-1,-1,3,4
820,AEGLG,Aesculus glabra,Ohio buckeye,1,15,39,-1,-1,3,4
830,AEGLL,Aesculus glabra,Ohio buckeye,1,15,39,-1,-1,3,4
840,AEGLM,Aesculus glabra,Ohio buckeye,1,15,39,-1,-1,3,4
850,AEGLM2,Aesculus glabra,Ohio buckeye,1,15,39,-1,-1,3,4
860,AEGLP,Aesculus glabra,Ohio buckeye,1,15,39,-1,-1,3,4
870,AEGLS,Aesculus glabra,Ohio buckeye,1,15,39,-1,-1,3,4
880,AEFL,Aesculus flava,Yellow buckeye,1,29,39,-1,-1,3,4
890,AEOC2,Aesculus octandra,Yellow buckeye,1,29,39,-1,-1,3,4
900,AIAL,Ailanthus altissima,Ailanthus,1,29,39,-1,-1,3,4
910,ALRH2,Alnus rhombifolia,White alder,1,1,23,-1,2,-1,-1
920,ALRHB,Alnus rhombifolia,White alder,1,1,23,-1,2,-1,-1
930,ALRU2,Alnus rubra,Red alder,1,1,22,-1,2,-1,-1
940,ALOR,Alnus rubra,Red alder,1,1,22,-1,2,-1,-1
950,AMAR3,Amelanchier arborea,Common serviceberry,1,29,39,-1,-1,3,4
960,AMARA3,Amelanchier arborea,Alabama serviceberry,1,29,39,-1,-1,3,4
970,AMARA4,Amelanchier arborea,Common serviceberry,1,29,39,-1,-1,3,4
980,AMARA5,Amelanchier arborea,Downy serviceberry,1,29,39,-1,-1,3,4
990,ARME,Arbutus menziesii,Pacific madrone,1,34,39,-1,2,-1,-1
1000,BEAL2,Betula alleghaniensis,Yellow birch,1,10,24,-1,-1,3,4
1010,BEALA,Betula alleghaniensis,Yellow birch,1,10,24,-1,-1,3,4
1020,BEALF,Betula alleghaniensis,Yellow birch,1,10,24,-1,-1,3,4
1030,BEALM,Betula alleghaniensis,Yellow birch,1,10,24,-1,-1,3,4
1040,BELE,Betula lenta,Sweet birch,1,9,24,-1,-1,-1,4
1050,BENI,Betula nigra,River Birch,1,8,24,-1,-1,3,4
1060,BEOC2,Betula occidentalis,Water birch,1,1,24,-1,-1,3,4
1070,BEOCI,Betula occidentalis,Water birch,1,1,24,-1,-1,3,4
1080,BEPA,Betula papyrifera,Paper birch,1,1,24,-1,2,3,4
1090,BEPAC2,Betula papyrifera,Mountian paper birch,1,1,24,-1,2,3,4
1100,BEPAP,Betula papyrifera,Paper birch,1,1,24,-1,2,3,4
